Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sumter,0.00,0.00,3.01,0.00,3.03,6.12,3.09,0.00,6.14,0.00,0.00,3.05,0.00,9.48,3.19,6.41,3.25,3.29
Talbot,0.00,30.78,0.00,15.15,15.42,0.00,0.00,0.00,0.00,15.60,0.00,14.57,14.76,0.00,0.00,0.00,15.82,0.00
Taliaferro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.24,0.00,0.00,0.00,0.00,0.00,0.00
Tattnall,8.97,0.00,4.51,4.52,8.99,13.20,8.76,13.05,4.35,17.19,8.17,15.67,11.86,0.00,3.92,11.91,23.80,11.96
Taylor,0.00,22.69,0.00,0.00,11.36,0.00,22.97,11.61,11.55,0.00,0.00,0.00,11.81,0.00,35.66,23.73,0.00,12.15
Telfair,0.00,16.96,17.06,0.00,0.00,0.00,0.00,7.59,0.00,22.67,7.82,12.12,6.13,0.00,12.00,6.06,0.00,12.53
Terrell,0.00,0.00,0.00,0.00,0.00,0.00,9.48,0.00,9.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas,2.34,2.34,9.33,0.00,2.30,6.92,0.00,2.23,2.21,6.54,8.66,2.24,2.24,2.24,4.45,8.88,4.44,6.63
Tift,2.60,2.60,0.00,0.00,0.00,5.00,2.47,4.82,0.00,0.00,0.00,4.99,4.85,2.44,4.96,2.46,14.73,14.70
Toombs,0.00,7.67,0.00,3.83,3.82,7.57,7.43,10.99,3.60,3.56,10.73,18.37,14.73,3.69,11.04,25.81,11.04,3.68
Towns,10.73,10.73,0.00,0.00,0.00,0.00,19.49,0.00,27.65,18.21,36.33,19.10,38.10,19.04,27.92,27.09,8.96,17.56
Treutlen,0.00,0.00,0.00,0.00,0.00,14.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.07
Troup,0.00,5.10,3.35,6.69,8.31,9.80,6.43,11.17,9.46,3.12,10.83,10.44,20.67,13.15,11.60,17.28,18.64,14.28
Turner,0.00,10.52,0.00,0.00,0.00,0.00,0.00,0.00,21.32,10.71,0.00,0.00,0.00,0.00,0.00,24.81,24.89,12.45
Twiggs,0.00,0.00,0.00,0.00,18.55,9.37,9.55,0.00,19.57,0.00,0.00,22.17,11.34,11.75,35.37,0.00,0.00,24.48
Union,5.78,5.78,5.60,5.45,5.26,5.17,5.05,24.54,4.79,14.17,0.00,14.05,14.04,18.62,18.54,9.12,17.98,21.81
Upson,0.00,0.00,7.22,3.63,7.24,7.27,3.64,10.94,18.15,7.28,18.15,11.05,11.13,26.29,26.43,22.88,7.61,7.59
Walker,4.91,3.28,3.25,6.46,11.26,9.58,20.59,6.26,13.94,12.33,15.39,14.54,17.49,14.66,11.72,14.64,11.76,16.20
Walton,3.30,0.00,9.33,10.47,11.56,5.58,7.95,7.57,9.61,11.65,5.73,13.13,7.11,17.67,19.76,17.12,21.47,17.74
Ware,2.82,0.00,2.82,8.53,8.53,8.59,8.59,5.63,0.00,27.79,27.84,2.75,24.87,5.58,8.39,44.97,11.29,13.99
Warren,0.00,15.78,0.00,0.00,16.17,16.31,16.49,0.00,34.10,0.00,0.00,0.00,0.00,17.96,18.01,0.00,0.00,0.00
Washington,4.72,9.44,0.00,19.13,9.54,0.00,5.02,14.62,4.80,0.00,9.58,9.44,9.51,0.00,4.84,9.70,9.61,14.66
Wayne,3.76,0.00,0.00,11.03,28.90,7.15,21.23,10.50,20.69,23.70,20.40,19.93,26.36,19.76,23.29,16.68,23.70,23.25
Webster,0.00,41.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.95,38.48
Wheeler,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,14.27,0.00,24.80,0.00,0.00,0.00,37.99,0.00
White,0.00,5.01,0.00,0.00,8.84,30.06,12.62,12.27,12.06,7.96,7.91,29.47,18.25,21.75,28.78,24.97,14.08,17.31
Whitfield,3.59,3.59,7.02,8.10,4.60,10.17,4.45,3.28,4.31,19.20,11.74,12.67,12.61,13.57,13.59,8.70,11.54,7.65
Wilcox,0.00,0.00,0.00,0.00,0.00,0.00,23.26,11.56,0.00,11.38,11.24,10.80,0.00,0.00,0.00,0.00,11.28,34.24
Wilkes,0.00,0.00,9.44,0.00,9.43,0.00,0.00,9.70,0.00,9.70,9.74,9.44,0.00,9.94,10.07,10.07,10.11,0.00
Wilkinson,9.78,0.00,19.42,29.30,9.83,9.88,9.92,19.96,19.94,9.99,0.00,0.00,0.00,0.00,0.00,10.70,21.86,0.00
Worth,0.00,0.00,0.00,4.59,4.60,0.00,18.66,9.31,9.38,0.00,14.14,0.00,0.00,0.00,4.74,9.51,19.32,28.92
